University,Univ Rank,Locations,URLs,Top Majors,Sector,Founding,Religion,Calendar,Setting,Endorsement,Engieering,BioMed,Computer,DoubleE,BusRank,BusAcct,BusEnt,BusFin,BusMgmt,BusMarketing,BusOps,BusQuant,BusRE,BusSupply,LiberalArts,EricXu,EmilyXu
Princeton University,1,"Princeton, NJ",http://colleges.usnews.rankingsandreviews.com/best-colleges/princeton-university-2627,"['Public Policy Analysis, General', 'Computer Engineering, General', 'Econometrics and Quantitative Economics', 'History, General', 'Operations Research']","Private, Coed",1746,N/A,Semester,Suburban,$21.7 billion +,888,888,888,12,888,888,888,888,888,888,888,888,888,888,888,N,N
Harvard University,2,"Cambridge, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/harvard-university-2155,"['Social Sciences, General', 'Biology/Biological Sciences, General', 'Mathematics, General', 'History, General', 'Physical Sciences']","Private, Coed",1636,N/A,Semester,Urban,$35.7 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Chicago,3,"Chicago, IL",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-chicago-1774,"['Economics, General', 'Biology/Biological Sciences, General', 'Mathematics, General', 'Political Science and Government, General', 'Public Policy Analysis, General']","Private, Coed",1890,N/A,Quarter,Urban,$6.1 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Yale University,3,"New Haven, CT",http://colleges.usnews.rankingsandreviews.com/best-colleges/yale-university-1426,"['Economics, General', 'Political Science and Government, General', 'History, General', 'Psychology, General', 'Cell/Cellular and Molecular Biology']","Private, Coed",1701,N/A,Semester,City,$25.4 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Columbia University,5,"New York, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/columbia-university-2707,"['Social Sciences', 'Engineering', 'Biological and Biomedical Sciences', 'Computer and Information Sciences and Support Services', 'Visual and Performing Arts']","Private, Coed",1754,N/A,Semester,Urban,$9.0 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,Y,N
Massachusetts Institute of Technology,5,"Cambridge, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/massachusetts-institute-of-technology-2178,"['Engineering', 'Computer and Information Sciences and Support Services', 'Mathematics and Statistics', 'Biological and Biomedical Sciences', 'Physical Sciences']","Private, Coed",1861,N/A,4/1/2004,Urban,$13.2 billion,1,3,1,1,2,888,2,3,8,888,1,1,888,2,888,Y,N
Stanford University,5,"Stanford, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/stanford-university-1305,"['Computer and Information Sciences and Support Services', 'Multi/Interdisciplinary Studies', 'Biological and Biomedical Sciences', 'Social Sciences', 'Engineering']","Private, Coed",1885,N/A,Quarter,Suburban,$22.4 billion,2,4,3,2,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Pennsylvania,8,"Philadelphia, PA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-pennsylvania-3378,"['Finance, General', 'Registered Nursing/Registered Nurse', 'Economics, General', 'Biology/Biological Sciences, General', 'Political Science and Government, General']","Private, Coed",1740,N/A,Semester,Urban,$10.7 billion +,888,10,888,888,1,4,5,1,2,1,2,3,1,11,888,N,N
Duke University,9,"Durham, NC",http://colleges.usnews.rankingsandreviews.com/best-colleges/duke-university-2920,"['Biology/Biological Sciences, General', 'Economics, General', 'Public Policy Analysis, General', 'Psychology, General', 'Bioengineering and Biomedical Engineering']","Private, Coed",1838,N/A,Semester,Suburban,$6.8 billion +,888,4,888,888,888,888,888,888,888,888,888,888,888,888,888,Y,N
California Institute of Technology,10,"Pasadena, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/california-institute-of-technology-1131,"['Engineering', 'Computer and Information Sciences and Support Services', 'Physical Sciences', 'Mathematics and Statistics', 'Biological and Biomedical Sciences']","Private, Coed",1891,N/A,Quarter,Suburban,$2.2 billion +,4,888,10,7,888,888,888,888,888,888,888,888,888,888,888,N,N
Dartmouth College,11,"Hanover, NH",http://colleges.usnews.rankingsandreviews.com/best-colleges/dartmouth-college-2573,"['Social Sciences', 'Biological and Biomedical Sciences', 'Engineering', 'History', 'Psychology']","Private, Coed",1769,N/A,Quarter,Rural,$4.5 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Johns Hopkins University,11,"Baltimore, MD",http://colleges.usnews.rankingsandreviews.com/best-colleges/jhu-2077,"['Public Health, General', 'Bioengineering and Biomedical Engineering', 'Cell/Cellular and Molecular Biology', 'Neuroscience', 'International Relations and Affairs']","Private, Coed",1876,N/A,Semester,Urban,$3.3 billion +,888,2,888,888,888,888,888,888,888,888,888,888,888,888,888,Y,N
Northwestern University,11,"Evanston, IL",http://colleges.usnews.rankingsandreviews.com/best-colleges/northwestern-university-1739,"['Economics, General', 'Psychology, General', 'Biology/Biological Sciences, General', 'Journalism', 'Political Science and Government, General']","Private, Coed",1851,N/A,Quarter,Suburban,$7.5 billion,888,12,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
